Student_ID,Surname,Fav_ANIMAL,Fav_Meal,Fav_City,Longitude,Latitude,Grade_English,Grade_Math,Grade_Biology
Student_021,Smith,,Tagliatelle,Berlin,13.7336,52.9783,1,2,1
Student_022,Jones,,Pizza,London,13.895,52.9581,2,2,2
Student_023,Meyer,,Nuggets,Frankfurt,13.5883,52.2156,3,3,2
Student_024,Otto,,Chocolate Cake,New York,14.1414,53.0783,1,3,3
Student_025,Petterson,,Spaghetti,Shanghai,14.1161,52.7914,2,1,4
Student_026,Ingman,,Salad,New York,13.895,52.9581,2,1,1
Student_027,Stine,,Chicken,Stockholm,13.4408,53.0497,3,3,1
Student_028,Beckett,,Curry,Stavanger,11.6069,53.94049,3,2,2
Student_029,Blyton,,Pizza,Frankfurt,13.6025,52.2225,1,2,3
Student_030,Morgan,,Spaghetti,Berlin,13.847336,51.853542,1,1,4
